YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,51,0.067,1,0.067,1,0.306,51,0.17,0
2010-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,51,0.067,1,0.067,1,0.306,51,0.17,0
2010-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,3,0.067,1,0.067,1,0.307,51,0.17,0
2010-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.067,1,0.067,1,0.307,51,0.17,0
2010-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,51,0.067,1,0.067,1,0.308,51,0.17,0
2010-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.067,1,0.067,1,0.309,51,0.17,0
2010-01-01,7:00,89.7,118.2,0,83,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,24,1,27,0,24,0,10,9,16,0,10,-9900,99,-9900,99,-9900,99,0.9,51,0.067,1,0.058,1,0.309,51,0.17,0
2010-01-01,8:00,84.5,122.9,136,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,20,24,0,27,20,24,60,10,372,16,24,10,-9900,99,-9900,99,-9900,99,0.9,51,0.067,1,0.058,1,0.310,51,0.17,0
2010-01-01,9:00,74.9,132.8,369,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,69,24,0,27,69,24,225,10,697,16,43,10,-9900,99,-9900,99,-9900,99,0.8,3,0.067,1,0.058,1,0.310,51,0.17,0
2010-01-01,10:00,66.7,144.6,558,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,210,28,80,31,179,28,385,10,830,16,57,10,-9900,99,-9900,99,-9900,99,0.7,51,0.067,1,0.058,1,0.311,51,0.17,0
2010-01-01,11:00,60.9,158.5,689,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,401,28,194,31,306,28,501,10,893,16,67,10,-9900,99,-9900,99,-9900,99,0.6,51,0.067,1,0.058,1,0.312,51,0.17,0
2010-01-01,12:00,58.0,174.2,751,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,510,28,579,31,203,28,560,10,921,16,71,10,-9900,99,-9900,99,-9900,99,0.5,3,0.067,1,0.058,1,0.312,51,0.17,0
2010-01-01,13:00,58.4,190.4,740,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,266,28,190,31,166,28,550,10,916,16,71,10,-9900,99,-9900,99,-9900,99,0.5,51,0.067,1,0.058,1,0.313,51,0.17,0
